year,country,wave_pgf,wave_lp,wave_gdp
1891,AUS,-0.058828,-0.068515,-0.036234
1892,AUS,-0.051669,-0.060374,-0.030472
1893,AUS,-0.044366,-0.052084,-0.024543
1894,AUS,-0.037008,-0.043716,-0.018508
1895,AUS,-0.029777,-0.035429,-0.012523
1896,AUS,-0.022774,-0.027306,-0.006675
1897,AUS,-0.016219,-0.019554,-0.001175
1898,AUS,-0.010198,-0.012264,0.003896
1899,AUS,-0.004941,-0.00567,0.008312
1900,AUS,-0.000402,0.000249,0.012115
1901,AUS,0.003421,0.005468,0.015307
1902,AUS,0.006599,0.010016,0.017952
1903,AUS,0.009086,0.013795,0.020001
1904,AUS,0.010809,0.016673,0.021356
1905,AUS,0.011818,0.018679,0.022015
1906,AUS,0.012192,0.01988,0.022039
1907,AUS,0.011988,0.020348,0.02144
1908,AUS,0.011328,0.020221,0.020291
1909,AUS,0.010313,0.019602,0.018669
1910,AUS,0.009002,0.018567,0.016645
1911,AUS,0.007527,0.017267,0.014376
1912,AUS,0.006051,0.015876,0.012076
1913,AUS,0.004702,0.014541,0.00989
1914,AUS,0.003558,0.013332,0.007937
1915,AUS,0.002718,0.01235,0.006341
1916,AUS,0.002177,0.011588,0.005155
1917,AUS,0.001892,0.011039,0.004372
1918,AUS,0.001818,0.010691,0.003966
1919,AUS,0.001892,0.010503,0.003865
1920,AUS,0.001992,0.010375,0.003911
1921,AUS,0.002079,0.010266,0.003989
1922,AUS,0.002123,0.010127,0.003995
1923,AUS,0.002135,0.009957,0.00388
1924,AUS,0.002152,0.009769,0.003648
1925,AUS,0.002203,0.009572,0.003347
1926,AUS,0.002387,0.009448,0.003104
1927,AUS,0.002813,0.009488,0.003089
1928,AUS,0.003587,0.009785,0.003473
1929,AUS,0.004776,0.010393,0.00441
1930,AUS,0.006427,0.011352,0.006016
1931,AUS,0.00852,0.012646,0.008327
1932,AUS,0.010841,0.014079,0.011156
1933,AUS,0.013148,0.015484,0.01415
1934,AUS,0.015346,0.016836,0.017028
1935,AUS,0.017371,0.018111,0.019606
1936,AUS,0.019167,0.019261,0.021754
1937,AUS,0.020701,0.020242,0.023404
1938,AUS,0.021936,0.021003,0.024519
1939,AUS,0.022855,0.021512,0.025101
1940,AUS,0.023411,0.02171,0.02515
1941,AUS,0.023495,0.021496,0.024602
1942,AUS,0.023055,0.020834,0.023451
1943,AUS,0.022172,0.019818,0.021848
1944,AUS,0.0211,0.018725,0.020103
1945,AUS,0.020159,0.017907,0.018539
1946,AUS,0.019564,0.017607,0.017348
1947,AUS,0.019381,0.017912,0.016565
1948,AUS,0.019509,0.018717,0.016097
1949,AUS,0.019788,0.019827,0.015839
1950,AUS,0.020128,0.021121,0.015745
1951,AUS,0.02047,0.022495,0.015813
1952,AUS,0.020801,0.02388,0.01606
1953,AUS,0.021123,0.025234,0.016497
1954,AUS,0.02139,0.026472,0.017077
1955,AUS,0.021541,0.027505,0.017746
1956,AUS,0.021571,0.028303,0.01849
1957,AUS,0.021507,0.028874,0.019321
1958,AUS,0.021372,0.029225,0.020235
1959,AUS,0.021143,0.029337,0.021185
1960,AUS,0.02082,0.029232,0.022134
1961,AUS,0.020447,0.028986,0.023083
1962,AUS,0.020025,0.028628,0.023993
1963,AUS,0.019513,0.028148,0.024764
1964,AUS,0.0189,0.027562,0.025321
1965,AUS,0.018215,0.026909,0.025638
1966,AUS,0.017486,0.026226,0.025718
1967,AUS,0.016689,0.025487,0.025521
1968,AUS,0.01581,0.024676,0.025031
1969,AUS,0.014835,0.023768,0.024259
1970,AUS,0.013792,0.022785,0.023269
1971,AUS,0.012754,0.021789,0.022174
1972,AUS,0.011761,0.020805,0.021082
1973,AUS,0.010852,0.019862,0.02005
1974,AUS,0.010061,0.018995,0.019112
1975,AUS,0.009419,0.018236,0.018313
1976,AUS,0.0089,0.01755,0.017656
1977,AUS,0.008499,0.016939,0.017137
1978,AUS,0.008218,0.016403,0.016769
1979,AUS,0.008019,0.015906,0.016525
1980,AUS,0.007911,0.015464,0.016403
1981,AUS,0.007884,0.015069,0.016404
1982,AUS,0.007929,0.014709,0.016535
1983,AUS,0.008053,0.014395,0.01682
1984,AUS,0.008227,0.014135,0.017175
1985,AUS,0.00845,0.013964,0.01754
1986,AUS,0.008749,0.013929,0.017906
1987,AUS,0.009134,0.014048,0.018279
1988,AUS,0.00959,0.01431,0.018651
1989,AUS,0.010129,0.01472,0.01906
1990,AUS,0.010742,0.015249,0.019551
1991,AUS,0.011404,0.015842,0.020168
1992,AUS,0.012063,0.016449,0.020879
1993,AUS,0.012667,0.017033,0.021594
1994,AUS,0.013188,0.017584,0.02224
1995,AUS,0.013587,0.018065,0.022762
1996,AUS,0.01381,0.018407,0.023116
1997,AUS,0.013819,0.018564,0.02327
1998,AUS,0.013606,0.018524,0.023197
1999,AUS,0.01319,0.018305,0.022894
2000,AUS,0.012616,0.017951,0.022389
2001,AUS,0.011917,0.017487,0.02172
2002,AUS,0.011106,0.016925,0.020899
2003,AUS,0.010229,0.01631,0.019946
2004,AUS,0.009332,0.015685,0.018879
2005,AUS,0.008475,0.015106,0.017738
2006,AUS,0.00769,0.014591,0.016563
2007,AUS,0.006991,0.014135,0.015391
2008,AUS,0.006378,0.013715,0.014274
2009,AUS,0.005847,0.013301,0.013265
2010,AUS,0.005414,0.012905,0.012387
2011,AUS,0.005059,0.012495,0.01164
2012,AUS,0.00476,0.012045,0.011012
2013,AUS,0.0045,0.011529,0.010519
2014,AUS,0.004273,0.010942,0.010173
2015,AUS,0.004077,0.010292,0.009978
2016,AUS,0.003894,0.009574,0.009933
2017,AUS,0.003732,0.00881,0.010041
2018,AUS,0.003579,0.008,0.010299
2019,AUS,0.003437,0.007146,0.010709
2020,AUS,0.003294,0.006239,0.011262
2021,AUS,0.003133,0.005275,0.011899
2022,AUS,0.002956,0.004278,0.012554
1891,AUT,0.025655,0.032948,0.022731
1892,AUT,0.024438,0.031722,0.022052
1893,AUT,0.023231,0.030504,0.021382
1894,AUT,0.022029,0.029287,0.020721
1895,AUT,0.020784,0.028015,0.020019
1896,AUT,0.019507,0.026692,0.019286
1897,AUT,0.018207,0.025321,0.018525
1898,AUT,0.016878,0.023888,0.017725
1899,AUT,0.015497,0.022364,0.016845
1900,AUT,0.014106,0.020795,0.015903
1901,AUT,0.012735,0.01922,0.014903
1902,AUT,0.011389,0.017657,0.01381
1903,AUT,0.010075,0.016122,0.012605
1904,AUT,0.008771,0.014602,0.011248
1905,AUT,0.007423,0.013044,0.009674
1906,AUT,0.00596,0.011377,0.007808
1907,AUT,0.00438,0.009595,0.005658
1908,AUT,0.002706,0.007715,0.003268
1909,AUT,0.001051,0.005841,0.000779
1910,AUT,-0.000503,0.004051,-0.001679
1911,AUT,-0.001916,0.002382,-0.004004
1912,AUT,-0.003151,0.00087,-0.006079
1913,AUT,-0.004101,-0.000366,-0.007729
1914,AUT,-0.004554,-0.001081,-0.008686
1915,AUT,-0.004305,-0.001017,-0.00869
1916,AUT,-0.003334,-8.4e-05,-0.007675
1917,AUT,-0.00151,0.001854,-0.005552
1918,AUT,0.001137,0.004754,-0.002423
1919,AUT,0.004337,0.008333,0.001366
1920,AUT,0.007606,0.012097,0.005258
1921,AUT,0.010496,0.015582,0.008805
1922,AUT,0.012747,0.018455,0.011653
1923,AUT,0.014235,0.020532,0.013632
1924,AUT,0.014958,0.021771,0.01472
1925,AUT,0.01483,0.022074,0.014839
1926,AUT,0.013976,0.021534,0.014114
1927,AUT,0.012582,0.02034,0.012765
1928,AUT,0.010832,0.018672,0.011015
1929,AUT,0.008931,0.016732,0.009112
1930,AUT,0.007144,0.014783,0.007373
1931,AUT,0.005735,0.013083,0.006116
1932,AUT,0.004877,0.011811,0.005586
1933,AUT,0.00456,0.010957,0.005846
1934,AUT,0.004553,0.010284,0.006738
1935,AUT,0.00455,0.00947,0.008017
1936,AUT,0.004712,0.008866,0.009437
1937,AUT,0.005096,0.008653,0.01078
1938,AUT,0.005679,0.008873,0.011863
1939,AUT,0.006415,0.00949,0.012594
1940,AUT,0.007382,0.010544,0.013112
1941,AUT,0.008817,0.012199,0.013828
1942,AUT,0.010851,0.01456,0.015056
1943,AUT,0.013771,0.01788,0.017219
1944,AUT,0.017727,0.022303,0.020593
1945,AUT,0.022931,0.028014,0.025466
1946,AUT,0.029446,0.035064,0.031955
1947,AUT,0.036211,0.042377,0.039043
1948,AUT,0.042378,0.049085,0.045883
1949,AUT,0.047255,0.054492,0.051768
1950,AUT,0.050634,0.058392,0.056438
1951,AUT,0.052614,0.0609,0.059914
1952,AUT,0.053463,0.062305,0.062351
1953,AUT,0.053441,0.062876,0.063923
1954,AUT,0.052711,0.062805,0.064682
1955,AUT,0.051414,0.062273,0.06464
1956,AUT,0.049736,0.061479,0.063878
1957,AUT,0.047893,0.060625,0.062579
1958,AUT,0.046051,0.059849,0.060919
1959,AUT,0.044333,0.059245,0.05906
1960,AUT,0.042802,0.058845,0.057112
1961,AUT,0.041445,0.058597,0.055121
1962,AUT,0.040273,0.058467,0.053183
1963,AUT,0.039284,0.058412,0.051382
1964,AUT,0.038422,0.058352,0.049736
1965,AUT,0.037618,0.058198,0.048234
1966,AUT,0.03682,0.057889,0.046872
1967,AUT,0.035954,0.057345,0.045612
1968,AUT,0.034967,0.056514,0.044418
1969,AUT,0.033791,0.055344,0.043215
1970,AUT,0.032379,0.053804,0.041924
1971,AUT,0.030718,0.051898,0.040496
1972,AUT,0.028884,0.049729,0.038932
1973,AUT,0.026941,0.047374,0.037243
1974,AUT,0.024972,0.044928,0.035475
1975,AUT,0.022993,0.042393,0.033685
1976,AUT,0.02107,0.039843,0.031936
1977,AUT,0.019215,0.037311,0.030219
1978,AUT,0.017456,0.034832,0.028559
1979,AUT,0.01588,0.032512,0.027019
1980,AUT,0.014471,0.030342,0.025604
1981,AUT,0.013246,0.028338,0.024375
1982,AUT,0.012236,0.026544,0.023377
1983,AUT,0.011409,0.024939,0.022596
1984,AUT,0.010741,0.023518,0.022013
1985,AUT,0.010231,0.022296,0.021625
1986,AUT,0.009842,0.021251,0.021387
1987,AUT,0.009545,0.020362,0.021259
1988,AUT,0.009327,0.019622,0.021203
1989,AUT,0.009153,0.019,0.021164
1990,AUT,0.009,0.018471,0.021109
1991,AUT,0.008862,0.01802,0.021031
1992,AUT,0.00875,0.017641,0.020949
1993,AUT,0.008682,0.017338,0.020891
1994,AUT,0.008672,0.017108,0.020862
1995,AUT,0.008707,0.016938,0.02082
1996,AUT,0.008785,0.016829,0.02072
1997,AUT,0.008895,0.016771,0.020525
1998,AUT,0.009003,0.016724,0.020204
1999,AUT,0.00906,0.016629,0.019721
2000,AUT,0.009053,0.016472,0.01907
2001,AUT,0.008977,0.016242,0.018275
2002,AUT,0.008841,0.015939,0.017381
2003,AUT,0.008644,0.015559,0.016416
2004,AUT,0.008384,0.015104,0.015396
2005,AUT,0.008043,0.014559,0.014313
2006,AUT,0.007615,0.01392,0.013171
2007,AUT,0.007108,0.0132,0.011977
2008,AUT,0.006558,0.012438,0.010769
2009,AUT,0.006033,0.011698,0.009628
2010,AUT,0.00558,0.011017,0.008639
2011,AUT,0.005188,0.010397,0.007785
2012,AUT,0.004857,0.009847,0.007065
2013,AUT,0.004599,0.009373,0.006514
2014,AUT,0.004425,0.008988,0.006157
2015,AUT,0.004336,0.008694,0.005996
2016,AUT,0.004324,0.008486,0.006017
2017,AUT,0.00439,0.008368,0.006193
2018,AUT,0.004524,0.008325,0.006502
2019,AUT,0.004731,0.00835,0.006939
2020,AUT,0.005015,0.008429,0.007526
2021,AUT,0.005368,0.008529,0.008294
2022,AUT,0.005754,0.00865,0.009118
1891,BEL,-0.003212,0.002866,0.002586
1892,BEL,-0.002796,0.003683,0.002991
1893,BEL,-0.002406,0.004475,0.003364
1894,BEL,-0.00205,0.005233,0.003688
1895,BEL,-0.001737,0.00595,0.003939
1896,BEL,-0.00148,0.006614,0.004086
1897,BEL,-0.001295,0.007215,0.004095
1898,BEL,-0.001171,0.007763,0.003959
1899,BEL,-0.00109,0.008277,0.003679
1900,BEL,-0.001028,0.00878,0.003265
1901,BEL,-0.000956,0.0093,0.002741
1902,BEL,-0.000828,0.009873,0.002163
1903,BEL,-0.000616,0.010519,0.001568
1904,BEL,-0.000292,0.011262,0.000986
1905,BEL,0.000187,0.012133,0.000453
1906,BEL,0.000875,0.013181,2e-05
1907,BEL,0.001848,0.014475,-0.000237
1908,BEL,0.003185,0.016091,-0.000227
1909,BEL,0.004967,0.018102,0.000149
1910,BEL,0.00727,0.020568,0.000994
1911,BEL,0.010175,0.023554,0.002437
1912,BEL,0.01379,0.027149,0.004671
1913,BEL,0.018269,0.031494,0.007943
1914,BEL,0.023779,0.036754,0.012515
1915,BEL,0.030473,0.043086,0.018634
1916,BEL,0.037955,0.050117,0.025988
1917,BEL,0.045467,0.057114,0.03387
1918,BEL,0.052517,0.063609,0.041773
1919,BEL,0.058277,0.068786,0.048818
1920,BEL,0.06178,0.071684,0.053944
1921,BEL,0.062545,0.071827,0.056497
1922,BEL,0.06112,0.06981,0.0568
1923,BEL,0.057983,0.066142,0.055203
1924,BEL,0.053572,0.061277,0.05208
1925,BEL,0.048291,0.055614,0.047818
1926,BEL,0.042484,0.049472,0.042787
1927,BEL,0.036395,0.043072,0.037264
1928,BEL,0.030208,0.036571,0.031466
1929,BEL,0.024031,0.030047,0.025536
1930,BEL,0.018069,0.023669,0.019701
1931,BEL,0.012533,0.017625,0.014201
1932,BEL,0.007631,0.012109,0.009281
1933,BEL,0.003507,0.007276,0.005094
1934,BEL,0.000227,0.003223,0.001689
1935,BEL,-0.002164,3.2e-05,-0.000912
1936,BEL,-0.00366,-0.002252,-0.002725
1937,BEL,-0.004159,-0.00349,-0.003664
1938,BEL,-0.00352,-0.003516,-0.003577
1939,BEL,-0.00151,-0.002071,-0.002212
1940,BEL,0.002096,0.001102,0.000659
1941,BEL,0.007444,0.00618,0.005205
1942,BEL,0.014316,0.012969,0.011256
1943,BEL,0.022194,0.020961,0.018359
1944,BEL,0.030567,0.029646,0.026101
1945,BEL,0.038491,0.038068,0.033646
1946,BEL,0.045024,0.045258,0.040103
1947,BEL,0.049327,0.050341,0.044627
1948,BEL,0.051664,0.05353,0.047402
1949,BEL,0.0524,0.055138,0.048733
1950,BEL,0.051894,0.055488,0.048928
1951,BEL,0.05048,0.054895,0.048254
1952,BEL,0.048433,0.05362,0.046957
1953,BEL,0.046025,0.051934,0.0453
1954,BEL,0.043428,0.050008,0.04344
1955,BEL,0.040801,0.048002,0.041526
1956,BEL,0.038292,0.046061,0.039692
1957,BEL,0.036026,0.044323,0.038064
1958,BEL,0.034109,0.042906,0.036747
1959,BEL,0.032603,0.041882,0.035806
1960,BEL,0.031474,0.041229,0.035185
1961,BEL,0.03068,0.040923,0.034798
1962,BEL,0.030166,0.040907,0.034576
1963,BEL,0.029886,0.041131,0.034469
1964,BEL,0.029799,0.041542,0.034449
1965,BEL,0.02986,0.042085,0.034484
1966,BEL,0.030061,0.042732,0.034582
1967,BEL,0.030372,0.043436,0.034722
1968,BEL,0.030715,0.044106,0.034838
1969,BEL,0.030989,0.044637,0.034834
1970,BEL,0.031086,0.044921,0.034605
1971,BEL,0.030917,0.044858,0.034098
1972,BEL,0.030487,0.044455,0.033322
1973,BEL,0.029786,0.043699,0.032285
1974,BEL,0.028851,0.042628,0.031029
1975,BEL,0.027767,0.04133,0.029642
1976,BEL,0.026627,0.039889,0.028233
1977,BEL,0.025441,0.038324,0.026816
1978,BEL,0.024263,0.036691,0.02546
1979,BEL,0.023113,0.035024,0.02419
1980,BEL,0.022009,0.033354,0.023035
1981,BEL,0.020954,0.031693,0.022022
1982,BEL,0.019992,0.030101,0.021218
1983,BEL,0.01915,0.028635,0.02064
1984,BEL,0.018448,0.027349,0.020273
1985,BEL,0.017876,0.026263,0.020065
1986,BEL,0.017412,0.025366,0.019973
1987,BEL,0.01701,0.024609,0.019946
1988,BEL,0.016625,0.023938,0.01993
1989,BEL,0.016218,0.023304,0.019876
1990,BEL,0.015781,0.022676,0.019779
1991,BEL,0.015316,0.022026,0.019659
1992,BEL,0.014809,0.021306,0.019552
1993,BEL,0.01426,0.020498,0.019485
1994,BEL,0.013676,0.019605,0.019466
1995,BEL,0.013049,0.018638,0.01944
1996,BEL,0.012401,0.017645,0.01937
1997,BEL,0.011735,0.016642,0.019222
1998,BEL,0.011042,0.015635,0.018949
1999,BEL,0.010337,0.014652,0.018533
2000,BEL,0.009618,0.013701,0.017956
2001,BEL,0.008904,0.012804,0.017228
2002,BEL,0.008212,0.01197,0.016391
2003,BEL,0.007535,0.011188,0.01547
2004,BEL,0.006858,0.010437,0.01448
2005,BEL,0.006159,0.00969,0.013419
2006,BEL,0.005456,0.008964,0.012317
2007,BEL,0.004778,0.008286,0.011215
2008,BEL,0.004154,0.007678,0.010164
2009,BEL,0.003635,0.007178,0.009252
2010,BEL,0.003245,0.006802,0.00854
2011,BEL,0.002963,0.006534,0.008015
2012,BEL,0.002792,0.006377,0.007684
2013,BEL,0.002717,0.006306,0.007547
2014,BEL,0.002719,0.006296,0.007591
2015,BEL,0.002775,0.006323,0.007785
2016,BEL,0.002881,0.006381,0.00811
2017,BEL,0.003046,0.006483,0.008555
2018,BEL,0.003273,0.006628,0.009113
2019,BEL,0.003554,0.006803,0.009782
2020,BEL,0.003876,0.006981,0.010568
2021,BEL,0.004232,0.007141,0.011492
2022,BEL,0.004603,0.007311,0.012439
1891,CAN,-0.017112,-0.022876,0.003682
1892,CAN,-0.011112,-0.015334,0.007785
1893,CAN,-0.005191,-0.007902,0.011906
1894,CAN,0.000548,-0.000699,0.016016
1895,CAN,0.005969,0.006139,0.020032
1896,CAN,0.010999,0.012545,0.023911
1897,CAN,0.015506,0.018395,0.027531
1898,CAN,0.019257,0.023462,0.030652
1899,CAN,0.022179,0.027676,0.033173
1900,CAN,0.024209,0.030973,0.034991
1901,CAN,0.025391,0.033395,0.036099
1902,CAN,0.02579,0.035011,0.036504
1903,CAN,0.025551,0.035974,0.036267
1904,CAN,0.02487,0.036474,0.035528
1905,CAN,0.023862,0.036611,0.034357
1906,CAN,0.022531,0.036367,0.032718
1907,CAN,0.02097,0.035807,0.03068
1908,CAN,0.019331,0.035053,0.028408
1909,CAN,0.017747,0.034204,0.026017
1910,CAN,0.016129,0.033135,0.02341
1911,CAN,0.014471,0.031803,0.020596
1912,CAN,0.012814,0.03021,0.017647
1913,CAN,0.011205,0.028373,0.014665
1914,CAN,0.009717,0.026357,0.011797
1915,CAN,0.008414,0.024245,0.009192
1916,CAN,0.007166,0.021955,0.006786
1917,CAN,0.005935,0.019504,0.004599
1918,CAN,0.004867,0.017097,0.002833
1919,CAN,0.004181,0.015005,0.001748
1920,CAN,0.003959,0.013358,0.001446
1921,CAN,0.004131,0.01213,0.00184
1922,CAN,0.004606,0.011274,0.002757
1923,CAN,0.005041,0.010471,0.003761
1924,CAN,0.005332,0.009631,0.004672
1925,CAN,0.005453,0.008727,0.005396
1926,CAN,0.005353,0.007706,0.005832
1927,CAN,0.005138,0.006664,0.006051
1928,CAN,0.004966,0.005747,0.006183
1929,CAN,0.005125,0.005228,0.006502
1930,CAN,0.006009,0.005485,0.007405
1931,CAN,0.007937,0.006834,0.009234
1932,CAN,0.011104,0.009486,0.012214
1933,CAN,0.015356,0.013313,0.01622
1934,CAN,0.020363,0.018024,0.020933
1935,CAN,0.025608,0.023133,0.025839
1936,CAN,0.030723,0.028287,0.030571
1937,CAN,0.035441,0.03323,0.034854
1938,CAN,0.039524,0.037725,0.038437
1939,CAN,0.042831,0.041625,0.041169
1940,CAN,0.045206,0.044787,0.042856
1941,CAN,0.046499,0.04706,0.043318
1942,CAN,0.046675,0.048389,0.042542
1943,CAN,0.045856,0.048869,0.040682
1944,CAN,0.044355,0.048767,0.038131
1945,CAN,0.042406,0.048244,0.035267
1946,CAN,0.040229,0.047448,0.032442
1947,CAN,0.03796,0.046465,0.029853
1948,CAN,0.035694,0.045373,0.027575
1949,CAN,0.033547,0.044286,0.025669
1950,CAN,0.031558,0.043241,0.024136
1951,CAN,0.029697,0.042199,0.022924
1952,CAN,0.027949,0.041133,0.021996
1953,CAN,0.02629,0.040008,0.021338
1954,CAN,0.024752,0.038844,0.020969
1955,CAN,0.02337,0.037668,0.020907
1956,CAN,0.022093,0.036435,0.021053
1957,CAN,0.020968,0.035208,0.0214
1958,CAN,0.020065,0.034062,0.022006
1959,CAN,0.019404,0.033027,0.022877
1960,CAN,0.01897,0.032125,0.02396
1961,CAN,0.018711,0.031336,0.025185
1962,CAN,0.018549,0.030621,0.026456
1963,CAN,0.018393,0.029927,0.027643
1964,CAN,0.018195,0.029235,0.028672
1965,CAN,0.017926,0.028535,0.029481
1966,CAN,0.017577,0.027829,0.030044
1967,CAN,0.017157,0.027123,0.030364
1968,CAN,0.016673,0.026409,0.03048
1969,CAN,0.016091,0.025633,0.030396
1970,CAN,0.015405,0.024789,0.030118
1971,CAN,0.014618,0.02387,0.029668
1972,CAN,0.013726,0.022877,0.029035
1973,CAN,0.01273,0.021811,0.028204
1974,CAN,0.011653,0.020697,0.027188
1975,CAN,0.010536,0.019564,0.026051
1976,CAN,0.009391,0.018398,0.024841
1977,CAN,0.008202,0.017172,0.023557
1978,CAN,0.007025,0.015942,0.022237
1979,CAN,0.005928,0.014783,0.020919
1980,CAN,0.00497,0.013759,0.019651
1981,CAN,0.00418,0.012879,0.018493
1982,CAN,0.003558,0.012125,0.017482
1983,CAN,0.003104,0.011477,0.016663
1984,CAN,0.00278,0.010917,0.01596
1985,CAN,0.00256,0.010453,0.015292
1986,CAN,0.002463,0.010126,0.014649
1987,CAN,0.002517,0.009971,0.014062
1988,CAN,0.002723,0.009988,0.013558
1989,CAN,0.003084,0.010167,0.013189
1990,CAN,0.00361,0.010494,0.013041
1991,CAN,0.004295,0.010942,0.013185
1992,CAN,0.005099,0.011462,0.013638
1993,CAN,0.005951,0.011996,0.014325
1994,CAN,0.006782,0.012509,0.015137
1995,CAN,0.007542,0.01298,0.015969
1996,CAN,0.008203,0.013402,0.016752
1997,CAN,0.00874,0.013769,0.017417
1998,CAN,0.009104,0.014041,0.017875
1999,CAN,0.00926,0.014185,0.018063
2000,CAN,0.009188,0.014175,0.017948
2001,CAN,0.008899,0.01401,0.017544
2002,CAN,0.008443,0.013723,0.016914
2003,CAN,0.007867,0.013353,0.016099
2004,CAN,0.007226,0.012941,0.015146
2005,CAN,0.006553,0.012509,0.014085
2006,CAN,0.005879,0.012066,0.01296
2007,CAN,0.005249,0.011644,0.011832
2008,CAN,0.004712,0.011273,0.010767
2009,CAN,0.004293,0.010963,0.00983
2010,CAN,0.003989,0.010695,0.00906
2011,CAN,0.003755,0.010435,0.008401
2012,CAN,0.003556,0.010151,0.007812
2013,CAN,0.003374,0.009824,0.007283
2014,CAN,0.003176,0.009414,0.006799
2015,CAN,0.002935,0.00889,0.006355
2016,CAN,0.002658,0.00826,0.005971
2017,CAN,0.002327,0.007511,0.005652
2018,CAN,0.001919,0.006625,0.005387
2019,CAN,0.001436,0.005602,0.005193
2020,CAN,0.000878,0.004431,0.005098
2021,CAN,0.000249,0.003099,0.005134
2022,CAN,-0.000389,0.001741,0.005196
1891,CHE,-0.004628,0.008561,0.014715
1892,CHE,-0.003186,0.010217,0.015611
1893,CHE,-0.001902,0.011713,0.016355
1894,CHE,-0.000819,0.01301,0.016911
1895,CHE,5.1e-05,0.014096,0.017266
1896,CHE,0.000603,0.014857,0.017301
1897,CHE,0.000897,0.015341,0.017059
1898,CHE,0.000988,0.015585,0.016575
1899,CHE,0.000968,0.015668,0.015928
1900,CHE,0.00089,0.01564,0.015176
1901,CHE,0.000833,0.015591,0.014421
1902,CHE,0.000836,0.015579,0.013732
1903,CHE,0.000862,0.015597,0.013103
1904,CHE,0.000869,0.01563,0.012524
1905,CHE,0.000742,0.015582,0.011891
1906,CHE,0.000447,0.015413,0.011156
1907,CHE,-3.5e-05,0.015083,0.010304
1908,CHE,-0.000559,0.014716,0.009446
1909,CHE,-0.001016,0.014409,0.008665
1910,CHE,-0.001382,0.014182,0.007972
1911,CHE,-0.001579,0.014116,0.007439
1912,CHE,-0.001502,0.014315,0.007166
1913,CHE,-0.001036,0.014885,0.00726
1914,CHE,-7.6e-05,0.015909,0.007811
1915,CHE,0.001423,0.017401,0.008843
1916,CHE,0.003489,0.019361,0.010354
1917,CHE,0.006157,0.021797,0.012347
1918,CHE,0.009421,0.024686,0.0148
1919,CHE,0.013004,0.027764,0.017445
1920,CHE,0.016574,0.030729,0.019981
1921,CHE,0.019902,0.033374,0.022211
1922,CHE,0.022843,0.035588,0.02402
1923,CHE,0.025161,0.037159,0.025204
1924,CHE,0.02678,0.038024,0.025703
1925,CHE,0.027693,0.038184,0.025518
1926,CHE,0.027922,0.037662,0.024666
1927,CHE,0.027571,0.036562,0.023251
1928,CHE,0.026774,0.035004,0.021418
1929,CHE,0.025689,0.033126,0.019359
1930,CHE,0.024499,0.031084,0.017317
1931,CHE,0.023379,0.029025,0.015548
1932,CHE,0.022424,0.027021,0.01425
1933,CHE,0.02167,0.025121,0.013488
1934,CHE,0.021115,0.023365,0.013223
1935,CHE,0.020935,0.022009,0.013478
1936,CHE,0.021191,0.021149,0.014246
1937,CHE,0.021919,0.020861,0.015476
1938,CHE,0.023122,0.02118,0.01709
1939,CHE,0.024802,0.022113,0.019068
1940,CHE,0.027005,0.023729,0.021426
1941,CHE,0.029678,0.02598,0.024134
1942,CHE,0.032697,0.028737,0.027129
1943,CHE,0.035873,0.031803,0.030274
1944,CHE,0.038899,0.03487,0.033313
1945,CHE,0.041376,0.037529,0.035895
1946,CHE,0.04288,0.039346,0.037631
1947,CHE,0.043482,0.040378,0.038606
1948,CHE,0.043294,0.040716,0.038942
1949,CHE,0.042577,0.040601,0.038896
1950,CHE,0.041541,0.040222,0.038659
1951,CHE,0.04026,0.039648,0.038268
1952,CHE,0.038817,0.038957,0.037754
1953,CHE,0.037323,0.038245,0.037205
1954,CHE,0.035798,0.037515,0.036624
1955,CHE,0.03424,0.036756,0.035984
1956,CHE,0.032668,0.035981,0.035273
1957,CHE,0.031125,0.035229,0.034524
1958,CHE,0.029669,0.034546,0.033801
1959,CHE,0.028329,0.03395,0.033147
1960,CHE,0.027028,0.03337,0.032467
1961,CHE,0.025746,0.032803,0.031702
1962,CHE,0.024499,0.032266,0.030826
1963,CHE,0.023316,0.031775,0.02987
1964,CHE,0.022188,0.031297,0.028847
1965,CHE,0.021104,0.030796,0.027762
1966,CHE,0.020055,0.030247,0.026635
1967,CHE,0.019028,0.029635,0.02547
1968,CHE,0.017995,0.02894,0.024244
1969,CHE,0.016919,0.02813,0.02292
1970,CHE,0.01576,0.027171,0.021458
1971,CHE,0.014513,0.026048,0.019862
1972,CHE,0.013218,0.024786,0.018204
1973,CHE,0.011924,0.023412,0.016573
1974,CHE,0.010688,0.021966,0.015069
1975,CHE,0.009579,0.020508,0.013803
1976,CHE,0.008671,0.019117,0.012883
1977,CHE,0.007922,0.017785,0.012259
1978,CHE,0.007275,0.016504,0.011847
1979,CHE,0.006712,0.015295,0.011596
1980,CHE,0.006196,0.014154,0.01143
1981,CHE,0.00571,0.013085,0.011299
1982,CHE,0.005283,0.012127,0.011206
1983,CHE,0.00493,0.0113,0.011153
1984,CHE,0.004617,0.010574,0.011081
1985,CHE,0.004312,0.009928,0.010915
1986,CHE,0.004022,0.00938,0.010612
1987,CHE,0.00378,0.00897,0.010174
1988,CHE,0.003611,0.008719,0.009602
1989,CHE,0.003512,0.008617,0.008898
1990,CHE,0.003486,0.008649,0.008092
1991,CHE,0.003573,0.008831,0.007268
1992,CHE,0.003817,0.009182,0.006541
